frame,ep_length,done,term_reason,root_z,root_ref_z,root_z_err,root_roll,root_pitch,root_yaw,root_ref_roll,root_ref_pitch,root_ref_yaw,root_lin_err,root_ang_err,q_ref_L_HipRoll_Joint,q_ref_L_HipPitch_Joint,q_ref_L_HipYaw_Joint,q_ref_L_Knee_Joint,q_ref_L_AnklePitch_Joint,q_ref_L_AnkleRoll_Joint,q_ref_R_HipRoll_Joint,q_ref_R_HipPitch_Joint,q_ref_R_HipYaw_Joint,q_ref_R_Knee_Joint,q_ref_R_AnklePitch_Joint,q_ref_R_AnkleRoll_Joint,q_ref_WaistYaw_Joint,q_cur_L_HipRoll_Joint,q_cur_L_HipPitch_Joint,q_cur_L_HipYaw_Joint,q_cur_L_Knee_Joint,q_cur_L_AnklePitch_Joint,q_cur_L_AnkleRoll_Joint,q_cur_R_HipRoll_Joint,q_cur_R_HipPitch_Joint,q_cur_R_HipYaw_Joint,q_cur_R_Knee_Joint,q_cur_R_AnklePitch_Joint,q_cur_R_AnkleRoll_Joint,q_cur_WaistYaw_Joint,q_err_L_HipRoll_Joint,q_err_L_HipPitch_Joint,q_err_L_HipYaw_Joint,q_err_L_Knee_Joint,q_err_L_AnklePitch_Joint,q_err_L_AnkleRoll_Joint,q_err_R_HipRoll_Joint,q_err_R_HipPitch_Joint,q_err_R_HipYaw_Joint,q_err_R_Knee_Joint,q_err_R_AnklePitch_Joint,q_err_R_AnkleRoll_Joint,q_err_WaistYaw_Joint,torque_L_HipRoll_Joint,torque_L_HipPitch_Joint,torque_L_HipYaw_Joint,torque_L_Knee_Joint,torque_L_AnklePitch_Joint,torque_L_AnkleRoll_Joint,torque_R_HipRoll_Joint,torque_R_HipPitch_Joint,torque_R_HipYaw_Joint,torque_R_Knee_Joint,torque_R_AnklePitch_Joint,torque_R_AnkleRoll_Joint,torque_WaistYaw_Joint,action_L_HipRoll_Joint,action_L_HipPitch_Joint,action_L_HipYaw_Joint,action_L_Knee_Joint,action_L_AnklePitch_Joint,action_L_AnkleRoll_Joint,action_R_HipRoll_Joint,action_R_HipPitch_Joint,action_R_HipYaw_Joint,action_R_Knee_Joint,action_R_AnklePitch_Joint,action_R_AnkleRoll_Joint,action_WaistYaw_Joint,keybody_err_L_Knee_Link,keybody_err_R_Knee_Link,keybody_err_L_Foot_Link,keybody_err_R_Foot_Link
0,1,0,,0.903241,0.890816,-0.012425,0.019229,0.035789,-1.598260,0.012912,0.038233,-1.577331,0.518143,1.027864,-0.024939,0.141872,0.051900,0.341293,-0.256166,0.006493,0.024443,-0.181739,-0.004590,-0.421540,0.296530,0.018255,-0.033032,-0.027330,0.145833,0.051625,0.355549,-0.208142,0.017689,0.020187,-0.180756,-0.013733,-0.423003,0.279451,0.023058,-0.025274,0.002391,-0.003961,0.000275,-0.014257,-0.048024,-0.011196,0.004256,-0.000982,0.009143,0.001463,0.017078,-0.004803,-0.007758,-28.632244,30.495781,11.165217,58.932156,29.933437,31.443949,36.401642,-70.652092,6.151038,-70.281075,10.900366,9.947155,9.021653,-0.058360,0.160871,0.133358,-0.088653,-0.234724,0.061008,0.018036,0.092135,0.043569,-0.001621,0.130298,,0.077576,,,,
1,1,0,,0.911219,0.890834,-0.020385,0.026631,0.038878,-1.613661,0.012873,0.038034,-1.576834,0.358888,0.836884,-0.024896,0.137973,0.052446,0.334679,-0.253192,0.006600,0.024642,-0.179001,-0.004066,-0.417469,0.294948,0.018417,-0.032960,-0.033186,0.164159,0.067848,0.380396,-0.182909,0.047570,0.020616,-0.198466,-0.005873,-0.454703,0.287152,0.026620,-0.020590,0.008290,-0.026185,-0.015402,-0.045718,-0.070284,-0.040971,0.004026,0.019465,0.001807,0.037234,0.007796,-0.008203,-0.012370,19.071154,16.383625,7.173647,8.771486,19.843475,24.406441,18.429321,-14.393575,-3.693736,-13.274510,4.687497,-2.516744,8.195717,-0.032963,0.099773,0.150685,-0.064300,-0.198919,0.021264,0.034344,0.066218,0.032895,-0.005244,0.138987,,0.092064,,,,
2,1,0,,0.915559,0.890827,-0.024731,0.031677,0.041877,-1.627132,0.012853,0.037827,-1.576345,0.202580,0.715367,-0.024960,0.135041,0.052939,0.330095,-0.251242,0.006734,0.024885,-0.176845,-0.003556,-0.414674,0.294034,0.018610,-0.032825,-0.034811,0.178940,0.084339,0.397278,-0.172866,0.072924,0.019253,-0.211574,-0.004389,-0.477783,0.287375,0.018431,-0.017602,0.009851,-0.043899,-0.031400,-0.067183,-0.078377,-0.066190,0.005632,0.034729,0.000833,0.063109,0.006659,0.000179,-0.015223,29.771133,43.718483,3.117553,-14.502847,-1.298152,12.901054,10.041847,-1.292419,-6.139912,-4.809384,-4.877292,-8.512836,7.710750,-0.016903,0.057710,0.136628,-0.055697,-0.184373,-0.016866,0.070926,0.005278,0.020995,-0.014362,0.102974,,0.102045,,,,
3,1,0,,0.915914,0.890773,-0.025142,0.035595,0.046819,-1.636172,0.012872,0.037603,-1.575869,0.169100,0.495086,-0.025237,0.134042,0.053324,0.329574,-0.251340,0.006927,0.025218,-0.175853,-0.003071,-0.414432,0.294456,0.018863,-0.032564,-0.032605,0.195199,0.094474,0.408734,-0.177401,0.083606,0.016860,-0.218369,-0.008913,-0.484106,0.276339,0.002060,-0.016067,0.007368,-0.061157,-0.041150,-0.079160,-0.073939,-0.076679,0.008358,0.042517,0.005842,0.069675,0.018117,0.016802,-0.016497,29.398457,44.345371,-0.713031,-6.693264,-7.213183,0.777987,-14.949324,7.704765,-3.157967,13.462963,-6.481968,-12.464152,8.031118,-0.006886,0.074652,0.095523,-0.040383,-0.116360,-0.052584,0.094645,-0.034857,0.000122,-0.018097,0.072307,,0.100576,,,,
4,1,0,,0.912372,0.890719,-0.021653,0.039333,0.051006,-1.642235,0.012971,0.037507,-1.575581,0.295959,0.409553,-0.025556,0.132770,0.053532,0.328198,-0.250978,0.007108,0.025601,-0.175543,-0.002771,-0.415114,0.295251,0.019109,-0.032399,-0.028675,0.211479,0.095524,0.420341,-0.184442,0.081969,0.013808,-0.217097,-0.018401,-0.475100,0.251556,-0.018312,-0.014894,0.003119,-0.078709,-0.041993,-0.092143,-0.066536,-0.074861,0.011793,0.041554,0.015630,0.059986,0.043695,0.037421,-0.017505,9.971405,17.521412,-1.722031,10.973171,-1.786565,-4.433131,-15.096693,17.767847,-1.909642,15.174717,-12.468233,-12.629968,7.498246,-0.013413,0.116950,0.066307,-0.014123,-0.071313,-0.078263,0.077616,-0.027388,-0.003688,-0.029722,0.012427,,0.092802,,,,
5,1,0,,0.905666,0.890666,-0.015000,0.043881,0.055699,-1.649034,0.013111,0.037475,-1.575389,0.374184,0.566522,-0.025897,0.131361,0.053651,0.326394,-0.250386,0.007285,0.026010,-0.175576,-0.002564,-0.416259,0.296233,0.019351,-0.032283,-0.025943,0.227362,0.089476,0.434692,-0.209260,0.075120,0.012044,-0.215093,-0.027774,-0.463271,0.242805,-0.036389,-0.013920,0.000046,-0.096000,-0.035825,-0.108298,-0.041126,-0.067835,0.013966,0.039517,0.025210,0.047012,0.053428,0.055740,-0.018362,6.899317,31.152153,-2.269873,3.504037,10.896866,3.196491,-22.169279,8.446318,-0.796044,-5.550138,-37.109024,-18.122316,6.674685,-0.014878,0.124965,0.072164,-0.026523,-0.088698,-0.103854,0.110859,-0.058790,-0.004684,-0.034206,0.006911,,0.078408,,,,
6,1,0,,0.898371,0.890643,-0.007728,0.045762,0.063986,-1.653379,0.013298,0.037610,-1.574778,0.402152,0.477829,-0.026259,0.129827,0.054165,0.323669,-0.249153,0.007408,0.026483,-0.175440,-0.001987,-0.416656,0.296808,0.019554,-0.032771,-0.022297,0.245910,0.080624,0.448785,-0.239242,0.057051,0.009407,-0.210743,-0.033223,-0.446065,0.280080,-0.047775,-0.013611,-0.003963,-0.116083,-0.026458,-0.125116,-0.009911,-0.049643,0.017075,0.035302,0.031236,0.029409,0.016729,0.067329,-0.019159,9.604210,33.821373,-6.785050,0.423064,0.711361,-16.195097,-46.759842,22.074787,5.401064,6.762232,-69.701378,-28.976669,7.775149,-0.006268,0.132209,-0.014253,0.003022,-0.039081,-0.132731,0.135394,-0.108139,-0.028666,-0.027997,-0.047118,,0.063110,,,,
7,1,0,,0.894325,0.890631,-0.003694,0.042691,0.070235,-1.652121,0.013468,0.037766,-1.573948,0.095777,0.372351,-0.026619,0.128583,0.054882,0.321359,-0.248045,0.007510,0.026951,-0.174977,-0.001211,-0.416384,0.297070,0.019740,-0.033431,-0.018662,0.260081,0.076181,0.458013,-0.259842,0.032014,0.005754,-0.206632,-0.031672,-0.430592,0.293185,-0.032329,-0.013502,-0.007957,-0.131498,-0.021299,-0.136654,0.011797,-0.024505,0.021197,0.031655,0.030461,0.014209,0.003885,0.052070,-0.019929,8.913932,18.435732,-11.348794,0.027577,-3.471503,-14.351375,-47.401817,27.177090,-6.001511,7.155208,-62.461658,-37.875084,7.746913,-0.004914,0.126123,-0.037625,0.005033,-0.042694,-0.124270,0.121690,-0.120203,-0.031015,-0.040712,-0.062529,,0.056029,,,,
8,1,0,,0.894686,0.890643,-0.004043,0.037903,0.074171,-1.649515,0.013607,0.037964,-1.572678,0.076906,0.324084,-0.026973,0.127918,0.056003,0.319879,-0.247188,0.007570,0.027413,-0.173855,-0.000036,-0.414775,0.296705,0.019894,-0.034433,-0.018355,0.270303,0.065440,0.465996,-0.272533,0.011597,0.000023,-0.204111,-0.029240,-0.421610,0.290533,-0.034255,-0.012979,-0.008618,-0.142385,-0.009437,-0.146117,0.025345,-0.004027,0.027390,0.030256,0.029205,0.006835,0.006172,0.054149,-0.021454,18.186974,28.769394,-4.931565,7.251146,-5.731930,-10.690621,-3.303438,16.367964,-9.204271,0.872450,-61.571548,-35.876747,6.845340,-0.006072,0.149712,-0.040882,-0.003466,-0.048925,-0.143778,0.140640,-0.134730,-0.014574,-0.043722,-0.045732,,0.047237,,,,
9,1,0,,0.895082,0.890663,-0.004420,0.032680,0.078235,-1.648790,0.013663,0.038142,-1.571463,0.075057,0.327580,-0.027245,0.127724,0.057070,0.319315,-0.246734,0.007608,0.027757,-0.172664,0.001070,-0.412984,0.296221,0.020031,-0.035305,-0.018392,0.280058,0.051711,0.472997,-0.280991,-0.001905,-0.005847,-0.200874,-0.028685,-0.410589,0.286830,-0.035156,-0.012621,-0.008853,-0.152334,0.005359,-0.153682,0.034256,0.009513,0.033604,0.028210,0.029754,-0.002395,0.009391,0.055188,-0.022684,23.453861,32.415092,-0.124403,-6.179380,-3.445352,-5.025033,2.883863,33.209293,-10.246139,-9.155843,-62.518681,-34.619499,7.025389,-0.003572,0.126837,-0.031373,0.021704,-0.049079,-0.150040,0.152583,-0.129155,-0.017733,-0.045195,-0.075189,,0.040605,,,,
